buildingIDX,Name,elevDiff,slope,dist,elevation,height,floors,year,X,Y,nearest
22,Twelve West,0.48999790000000587,2059.5192431791247,2042.3329679094868,75.75,266,22,2009,7642467.267,684061.2241,4
29,Benson Tower,-73.29999539999999,2861.9733689405125,2843.654106514902,149.5399933,250,26,2007,7641865.562,681301.4199,4
5,Fox Tower,0.22999580000001174,2981.7756971847625,2958.50863988916,76.0100021,372,27,2000,7643183.947,682643.6903,4
21,Union Bank Tower,30.789997100000008,3182.353755509247,3173.500723133365,45.4500008,268,15,1969,7643615.85,683604.6709,4
